name,description
Cefdinir,Cefdinir is a third-generation cephalosporin antibiotic used to treat various bacterial infections.
Cefditoren,Cefditoren is a broad-spectrum cephalosporin antibiotic indicated for the treatment of respiratory tract infections.
Cefepime,Cefepime is a fourth-generation cephalosporin antibiotic effective against a wide range of gram-positive and gram-negative bacteria.
Cefetamet,Cefetamet is a cephalosporin antibiotic used primarily for treating infections caused by susceptible bacteria.
Cefixime,Cefixime is a third-generation cephalosporin antibiotic commonly used to treat urinary tract infections and respiratory tract infections.
Cefoperazone,Cefoperazone is a broad-spectrum cephalosporin antibiotic used to treat various bacterial infections.
Cefotaxime,Cefotaxime is a third-generation cephalosporin antibiotic effective against a wide range of gram-positive and gram-negative bacteria.
Cefpirome,Cefpirome is a fourth-generation cephalosporin antibiotic used for the treatment of serious infections caused by susceptible bacteria.
Cefpodoxime Proxetil,"Cefpodoxime Proxetil is a prodrug of cefpodoxime, a third-generation cephalosporin antibiotic used to treat respiratory tract infections and other bacterial infections."
Cefprozil,Cefprozil is a second-generation cephalosporin antibiotic indicated for the treatment of various bacterial infections.
Ceftazidime,Ceftazidime is a third-generation cephalosporin antibiotic used to treat a variety of bacterial infections.
Ceftibuten,Ceftibuten is a third-generation oral cephalosporin antibiotic primarily used for respiratory tract infections.
Ceftizoxime,Ceftizoxime is a third-generation cephalosporin antibiotic effective against a range of Gram-negative and some Gram-positive bacteria.
Ceftriaxone,"Ceftriaxone is a broad-spectrum cephalosporin antibiotic commonly used for serious infections, including those caused by resistant bacteria."
Cefuroxime,"Cefuroxime is a second-generation cephalosporin antibiotic used to treat various infections, including respiratory and skin infections."
Cefuroxime axetil,Cefuroxime axetil is an oral cephalosporin antibiotic used to treat various bacterial infections.
Celecoxib,Celecoxib is a nonsteroidal anti-inflammatory drug (NSAID) that selectively inhibits cyclooxygenase-2 (COX-2) and is used for pain and inflammation.
Celiprolol,"Celiprolol is a beta-blocker with additional beta-agonist properties, primarily used in the treatment of hypertension."
Centbucridine,Centbucridine is a muscle relaxant that acts on the central nervous system and is used to relieve muscle spasms.
Centchroman,Centchroman is a non-steroidal contraceptive agent that acts as an anti-implantation agent.
Cerebroprotein Hydrolysate,"A protein hydrolysate derived from brain tissue, used in neuroprotective therapies."
Ceritinib,An oral tyrosine kinase inhibitor used in the treatment of non-small cell lung cancer with ALK mutations.
Certoparin,An anticoagulant medication used for the prevention and treatment of venous thromboembolism.
Cetalkonium Chloride,A quaternary ammonium compound used as a surfactant and antimicrobial agent in various formulations.
Cetilistat,A lipase inhibitor used to aid weight loss by reducing fat absorption in the gastrointestinal tract.
Cetirizine,"Cetirizine is an antihistamine used to relieve allergy symptoms such as runny nose, sneezing, and itchy eyes."
Cetrimide,Cetrimide is a quaternary ammonium compound used as a disinfectant and antiseptic.
Cetrorelix,Cetrorelix is a gonadotropin-releasing hormone antagonist used in assisted reproductive technology to prevent premature ovulation.
Cetuximab,"Cetuximab is a monoclonal antibody used in the treatment of certain types of cancer, particularly colorectal cancer and head and neck cancer."
Cetyl Alcohol,"Cetyl Alcohol is a fatty alcohol used as an emollient, emulsifier, and thickening agent in cosmetic and pharmaceutical formulations."
ChAdOx1 nCoV Corona Virus Vaccine,A viral vector vaccine developed to provide immunity against COVID-19 by using a modified adenovirus to deliver genetic material coding for the SARS-CoV-2 spike protein.
Chlorambucil,"An alkylating agent used primarily in the treatment of certain types of cancer, particularly chronic lymphocytic leukemia and lymphoma."
Chloramphenicol,"An antibiotic used to treat a variety of bacterial infections, particularly those caused by typhoid fever and bacterial meningitis."
Chlorbutol,A topical antiseptic and anesthetic agent used in the treatment of minor skin irritations and as a preservative in some pharmaceutical formulations.
Chlordiazepoxide,"A benzodiazepine used for the treatment of anxiety and alcohol withdrawal symptoms, known for its sedative and anxiolytic properties."
Chlorhexidine Gluconate,An antiseptic used for skin disinfection and to reduce bacteria in the mouth.
Chlormezanone,A muscle relaxant and anxiolytic agent used in the treatment of muscle spasms.
Chlorocresol,An antiseptic and preservative commonly used in pharmaceutical formulations.
Chloroform,A volatile organic compound historically used as an anesthetic and solvent.
Chloroprocaine,A local anesthetic used for short surgical procedures and pain management.
Chloroquine,"Chloroquine is an antimalarial medication used to prevent and treat malaria, as well as to treat certain autoimmune diseases."
Chlorpheniramine Maleate,"Chlorpheniramine Maleate is an antihistamine used to relieve symptoms of allergy, hay fever, and the common cold."
Chlorpromazine,Chlorpromazine is an antipsychotic medication used to treat schizophrenia and other mental health disorders.
Chlorpropamide,Chlorpropamide is an oral hypoglycemic agent used in the management of type 2 diabetes mellitus.
Chlorthalidone,Chlorthalidone is a thiazide-like diuretic used to treat high blood pressure and fluid retention.
Chlorzoxazone,Chlorzoxazone is a muscle relaxant used to relieve muscle spasms and discomfort.
Cholera Vaccine,"Cholera Vaccine is used to prevent cholera, an infectious disease caused by the bacterium Vibrio cholerae."
Cholestyramine,Cholestyramine is a bile acid sequestrant used to lower cholesterol levels and manage certain types of diarrhea.
Choline,"Choline is an essential nutrient that plays a role in liver function, brain development, and muscle movement."
Choline Salicylate,Choline Salicylate is a nonsteroidal anti-inflammatory drug (NSAID) used to relieve pain and inflammation.
Choline Theophyllinate,"A compound that combines choline and theophylline, often used in respiratory therapies."
Choline fenofibrate,"A combination of choline and fenofibrate, primarily used to manage lipid levels in the blood."
Chondroitin,"A naturally occurring substance found in cartilage, commonly used as a dietary supplement for joint health."
Chromium,An essential trace mineral that plays a role in carbohydrate and lipid metabolism.
Chromium Chloride,A chemical compound of chromium used as a dietary supplement and in various industrial applications.
Chromium Picolinate,A mineral supplement that is often used to enhance insulin sensitivity and support glucose metabolism.
Ciclesonide,"A corticosteroid used in the treatment of asthma and allergic rhinitis, known for its anti-inflammatory properties."
Ciclopirox,An antifungal agent used topically to treat fungal infections of the skin and nails.
Ciclosporin,An immunosuppressant medication primarily used to prevent organ transplant rejection and to treat autoimmune disorders.
Cilastatin,"An inhibitor of renal dehydropeptidase I, used in combination with the antibiotic imipenem to prevent its degradation."
Cilnidipine,Cilnidipine is a calcium channel blocker used primarily for the treatment of hypertension.
Cilostazol,Cilostazol is a phosphodiesterase inhibitor used to treat intermittent claudication by improving blood flow.
Cimetidine,Cimetidine is an H2 receptor antagonist that reduces stomach acid production and is used to treat conditions like peptic ulcers and gastroesophageal reflux disease.
Cimetropium Bromide,Cimetropium Bromide is an antispasmodic agent used to relieve gastrointestinal spasms.
Cinacalcet,Cinacalcet is a calcimimetic agent used to manage secondary hyperparathyroidism in patients with chronic kidney disease on dialysis.
Cinitapride,Cinitapride is a gastroprokinetic agent used to treat gastrointestinal disorders by enhancing motility.
Cinnarizine,Cinnarizine is an antihistamine and calcium channel blocker used primarily for the treatment of motion sickness and vestibular disorders.
Ciprofloxacin,Ciprofloxacin is a fluoroquinolone antibiotic effective against a variety of bacterial infections.
Cisapride,Cisapride is a prokinetic agent that enhances gastrointestinal motility and is used to treat gastroesophageal reflux disease.
Cisatracurium,Cisatracurium is a neuromuscular blocker used to induce muscle relaxation during surgical procedures.
Cisplatin,Cisplatin is a chemotherapy medication used to treat various types of cancer by interfering with the DNA in cancer cells.
Citalopram,"Citalopram is an antidepressant of the selective serotonin reuptake inhibitor (SSRI) class, primarily used to treat major depressive disorder."
Citicoline,Citicoline is a neuroprotective agent that is used to enhance cognitive function and is involved in the synthesis of phospholipids in cell membranes.
